,model,backend,architecture,number_of_operations,number_of_unmapped_operations,total_parameters,trainable_parameters,non_trainable_parameters,running_time,power_draw,validation_size,batch_size,accuracy_k1,accuracy_k3,accuracy_k5,accuracy_k10,fsize,approx_USB_power_draw,task,dataset,environment
44,InceptionV3,NCS,RasPi,,,23851784.0,23817352.0,34432.0,0.08996436248222986,0.0,12000.0,1.0,0.75583174604,0.89003544972,0.92430899472,0.94967804232,108.98181699999999,1.4394297997156777,infer,imagenet,RasPi NCS
45,InceptionV3,TPU,Desktop,,,23851784.0,23817352.0,34432.0,0.045546453585227326,0.0,12000.0,1.0,0.7690833333333333,0.897,0.92575,0.9489166666666666,108.98181699999999,0.7702753876532464,infer,imagenet,Desktop TPU
46,InceptionV3,TPU,Laptop,,,23851784.0,23817352.0,34432.0,0.04566688009103139,0.0,12000.0,1.0,0.7690833333333333,0.897,0.92575,0.9489166666666666,108.98181699999999,0.851184295142816,infer,imagenet,Laptop TPU
47,InceptionV3,TPU,RasPi,,,23851784.0,23817352.0,34432.0,0.5527622612814109,0.0,12000.0,1.0,0.7690833333333332,0.8969999999999999,0.92575,0.9489166666666669,108.98181699999999,8.927110519694786,infer,imagenet,RasPi TPU
48,MobileNet,CPU,Desktop,,,4253864.0,4231976.0,21888.0,0.017337197810411452,0.0,12000.0,64.0,0.61525,0.7759166666666667,0.8234166666666667,0.8741666666666666,,0.75874704680196,infer,imagenet,Desktop CPU
49,MobileNet,CPU,Laptop,,,4253864.0,4231976.0,21888.0,0.01119821826616923,0.0,12000.0,64.0,0.61525,0.7759166666666667,0.8234166666666667,0.8741666666666666,,0.350856395118,infer,imagenet,Laptop CPU
50,MobileNet,CPU,RasPi,,,4253864.0,4231976.0,21888.0,0.1305326061944167,0.0,12000.0,16.0,0.6142690696666666,0.7761582892333333,0.8231942239833333,0.8749691357999999,,1.4358586681385836,infer,imagenet,RasPi CPU
51,MobileNet,NCS,Desktop,,,4253864.0,4231976.0,21888.0,0.02245399077733358,0.0,12000.0,1.0,0.5763333333333334,0.7420833333333333,0.7928333333333333,0.8525833333333334,,0.37835263518898354,infer,imagenet,Desktop NCS
52,MobileNet,NCS,Laptop,,,4253864.0,4231976.0,21888.0,0.02267749337355296,0.0,12000.0,1.0,0.5763333333333334,0.7420833333333333,0.7928333333333333,0.8525833333333334,,0.41251638613323294,infer,imagenet,Laptop NCS
53,MobileNet,NCS,RasPi,,,4253864.0,4231976.0,21888.0,0.024771258234977722,0.0,12000.0,1.0,0.57652089948,0.7422076719599999,0.79296190476,0.85265449736,,0.39634013175964355,infer,imagenet,RasPi NCS
54,MobileNet,TPU,Desktop,,,4253864.0,4231976.0,21888.0,0.00461829470594724,0.0,12000.0,1.0,0.5976666666666667,0.7574166666666666,0.8074166666666667,0.85575,,0.08168412304242431,infer,imagenet,Desktop TPU
55,MobileNet,TPU,Laptop,,,4253864.0,4231976.0,21888.0,0.004556195060412089,0.0,12000.0,1.0,0.5976666666666667,0.7574166666666666,0.8074166666666667,0.85575,,0.0898622922842539,infer,imagenet,Laptop TPU
56,MobileNet,TPU,RasPi,,,4253864.0,4231976.0,21888.0,0.013657572368780773,0.0,12000.0,1.0,0.59778290345,0.757525959,0.807468088625,0.855829530425,,0.22056979375580948,infer,imagenet,RasPi TPU
57,MobileNetV2,CPU,Desktop,,,3538984.0,3504872.0,34112.0,0.01570428036650022,0.0,12000.0,64.0,0.6223333333333333,0.7798333333333334,0.8286666666666667,0.8785,14.552912,0.68687293773852,infer,imagenet,Desktop CPU
58,MobileNetV2,CPU,Laptop,,,3538984.0,3504872.0,34112.0,0.010529276847839357,0.0,12000.0,64.0,0.6223333333333333,0.7798333333333334,0.8286666666666667,0.8785,14.552912,0.32144009918604,infer,imagenet,Laptop CPU
59,MobileNetV2,CPU,RasPi,,,3538984.0,3504872.0,34112.0,0.2068723055223624,0.0,12000.0,16.0,0.6224679232666667,0.7800456349166667,0.8289332010333333,0.8786101190499999,14.552912,2.2755953607459865,infer,imagenet,RasPi CPU
60,MobileNetV2,NCS,Desktop,,,3538984.0,3504872.0,34112.0,0.027306493769089384,0.0,12000.0,1.0,0.613,0.775,0.8235833333333333,0.87275,14.552912,0.46018817685025937,infer,imagenet,Desktop NCS
61,MobileNetV2,NCS,Laptop,,,3538984.0,3504872.0,34112.0,0.027158358414967856,0.0,12000.0,1.0,0.613,0.775,0.8235833333333333,0.87275,14.552912,0.5090531909523378,infer,imagenet,Laptop NCS
62,MobileNetV2,NCS,RasPi,,,3538984.0,3504872.0,34112.0,0.031240802258253098,0.0,12000.0,1.0,0.61317037036,0.77521825396,0.8238126984,0.8728563492000001,14.552912,0.49985283613204956,infer,imagenet,RasPi NCS
63,MobileNetV2,TPU,Desktop,,,3538984.0,3504872.0,34112.0,0.004964438647031784,0.0,12000.0,1.0,0.6135833333333334,0.7730833333333333,0.82125,0.87125,14.552912,0.08773145646124655,infer,imagenet,Desktop TPU
64,MobileNetV2,TPU,Laptop,,,3538984.0,3504872.0,34112.0,0.004909709533055623,0.0,12000.0,1.0,0.6135833333333334,0.7730833333333333,0.82125,0.87125,14.552912,0.09502859191636397,infer,imagenet,Laptop TPU
65,MobileNetV2,TPU,RasPi,,,3538984.0,3504872.0,34112.0,0.016360497723023094,0.0,12000.0,1.0,0.6164375,0.775776041675,0.8242708333250001,0.8721875,14.552912,0.264222038226823,infer,imagenet,RasPi TPU
66,MobileNetV3Large,CPU,Desktop,,,5507432.0,5483032.0,24400.0,0.014815454224745433,0.0,12000.0,64.0,0.7195833333333334,0.8593333333333333,0.89625,0.9313333333333333,22.7354,0.62306109836805,infer,imagenet,Desktop CPU
67,MobileNetV3Large,CPU,Laptop,,,5507432.0,5483032.0,24400.0,0.010424955725669859,0.0,12000.0,64.0,0.7195833333333334,0.8593333333333333,0.89625,0.9313333333333333,22.7354,0.31620743213229,infer,imagenet,Laptop CPU
68,MobileNetV3Large,CPU,RasPi,,,5507432.0,5483032.0,24400.0,0.15095073978106183,0.0,12000.0,16.0,0.7194113757,0.859375,0.896412037,0.9314649471,22.7354,1.66045813759168,infer,imagenet,RasPi CPU
69,MobileNetV3Large,NCS,Desktop,,,5507432.0,5483032.0,24400.0,0.0323085301220417,0.0,12000.0,1.0,0.7180833333333333,0.8584166666666667,0.8935833333333333,0.9309166666666666,22.7354,0.5430260901842117,infer,imagenet,Desktop NCS
70,MobileNetV3Large,NCS,Laptop,,,5507432.0,5483032.0,24400.0,0.032107052544752754,0.0,12000.0,1.0,0.7180833333333333,0.8584166666666667,0.8935833333333333,0.9309166666666666,22.7354,0.5580195849451528,infer,imagenet,Laptop NCS
71,MobileNetV3Large,NCS,RasPi,,,5507432.0,5483032.0,24400.0,0.036192367474238075,0.0,12000.0,1.0,0.7179232804,0.8584656085,0.8937665344,0.9310515873,22.7354,0.5790778795878092,infer,imagenet,RasPi NCS
72,MobileNetV3Small,CPU,Desktop,,,2554968.0,2542856.0,12112.0,0.006887224753697713,0.0,12000.0,64.0,0.64,0.78875,0.8388333333333333,0.8883333333333333,10.804839999999999,0.28032250249894497,infer,imagenet,Desktop CPU
73,MobileNetV3Small,CPU,Laptop,,,2554968.0,2542856.0,12112.0,0.003554703692595164,0.0,12000.0,64.0,0.64,0.78875,0.8388333333333333,0.8883333333333333,10.804839999999999,0.14926611627593997,infer,imagenet,Laptop CPU
74,MobileNetV3Small,CPU,RasPi,,,2554968.0,2542856.0,12112.0,0.08225516229867935,0.0,12000.0,16.0,0.6402943122,0.7891865079,0.8390376984,0.8884755291,10.804839999999999,0.9048067852854729,infer,imagenet,RasPi CPU
75,MobileNetV3Small,NCS,Desktop,,,2554968.0,2542856.0,12112.0,0.01771205731232961,0.0,12000.0,1.0,0.638,0.7886666666666666,0.8380833333333333,0.8880833333333333,10.804839999999999,0.3001623408893096,infer,imagenet,Desktop NCS
76,MobileNetV3Small,NCS,Laptop,,,2554968.0,2542856.0,12112.0,0.01773222581545512,0.0,12000.0,1.0,0.638,0.7886666666666666,0.8380833333333333,0.8880833333333333,10.804839999999999,0.33847283226631514,infer,imagenet,Laptop NCS
77,MobileNetV3Small,NCS,RasPi,,,2554968.0,2542856.0,12112.0,0.02073013037443161,0.0,12000.0,1.0,0.6381448413,0.789021164,0.8383763228,0.8882275132,10.804839999999999,0.33168208599090576,infer,imagenet,RasPi NCS
78,NASNetLarge,CPU,Laptop,,,88949818.0,88753150.0,196668.0,0.3863744002381961,0.0,12000.0,64.0,0.8216666666666667,0.9374166666666667,0.9608333333333333,0.9764166666666667,,10.2863876684367,infer,imagenet,Laptop CPU
79,NASNetMobile,CPU,Desktop,,,5326716.0,5289978.0,36738.0,0.020890101055304207,0.0,12000.0,64.0,0.7039166666666666,0.8433333333333334,0.88325,0.9208333333333333,23.037831999999998,1.0333895607492,infer,imagenet,Desktop CPU
80,NASNetMobile,CPU,Laptop,,,5326716.0,5289978.0,36738.0,0.0194546647866567,0.0,12000.0,64.0,0.7039166666666666,0.8433333333333334,0.88325,0.9208333333333333,23.037831999999998,0.55414530915375,infer,imagenet,Laptop CPU
81,NASNetMobile,CPU,RasPi,,,5326716.0,5289978.0,36738.0,0.31312498822808266,0.0,12000.0,16.0,0.7032917230666667,0.8431709245833333,0.8833361428833334,0.9210455887833332,23.037831999999998,3.4443748705089092,infer,imagenet,RasPi CPU
82,NASNetMobile,NCS,Desktop,,,5326716.0,5289978.0,36738.0,0.08229252769549687,0.0,12000.0,1.0,0.12583333333333332,0.21875,0.27625,0.3640833333333333,23.037831999999998,1.3717201145754918,infer,imagenet,Desktop NCS
83,NASNetMobile,NCS,Laptop,,,5326716.0,5289978.0,36738.0,0.08039975323279698,0.0,12000.0,1.0,0.12583333333333332,0.21875,0.27625,0.3640833333333333,23.037831999999998,1.3179028177190268,infer,imagenet,Laptop NCS
84,NASNetMobile,NCS,RasPi,,,5326716.0,5289978.0,36738.0,0.0952261524895827,0.0,12000.0,1.0,0.12573148148,0.21861772488,0.27613359788,0.3639195767199999,23.037831999999998,1.5236184398333232,infer,imagenet,RasPi NCS
85,NASNetMobile,TPU,Desktop,,,5326716.0,5289978.0,36738.0,0.01418308921655019,0.0,12000.0,1.0,0.6495833333333333,0.7976666666666666,0.84625,0.8903333333333333,23.037831999999998,0.2448695210836327,infer,imagenet,Desktop TPU
86,NASNetMobile,TPU,Laptop,,,5326716.0,5289978.0,36738.0,0.014090379357337951,0.0,12000.0,1.0,0.6495833333333333,0.7976666666666666,0.84625,0.8903333333333333,23.037831999999998,0.2616798765389686,infer,imagenet,Laptop TPU
87,NASNetMobile,TPU,RasPi,,,5326716.0,5289978.0,36738.0,0.0631065604587396,0.0,12000.0,1.0,0.6495833333333333,0.7976666666666666,0.84625,0.8903333333333333,23.037831999999998,1.0191709514086444,infer,imagenet,RasPi TPU
88,ResNet101,CPU,Desktop,,,44707176.0,44601832.0,105344.0,0.09687359735369681,0.0,12000.0,64.0,0.72325,0.8620833333333333,0.89925,0.9329166666666666,179.68035999999998,5.738093734554271,infer,imagenet,Desktop CPU
89,ResNet101,CPU,Laptop,,,44707176.0,44601832.0,105344.0,0.0979071228504181,0.0,12000.0,64.0,0.72325,0.8620833333333333,0.89925,0.9329166666666666,179.68035999999998,2.6533864285350597,infer,imagenet,Laptop CPU
90,ResNet101,CPU,RasPi,,,44707176.0,44601832.0,105344.0,0.8411070841054122,0.0,12000.0,16.0,0.7233561507999999,0.8622172619166667,0.8993604497500001,0.9328935185333332,179.68035999999998,9.252177925159534,infer,imagenet,RasPi CPU
91,ResNet101,NCS,Desktop,,,44707176.0,44601832.0,105344.0,0.09521516255537668,0.0,12000.0,1.0,0.7228333333333333,0.8614166666666667,0.8986666666666666,0.9313333333333333,179.68035999999998,1.5744231411822567,infer,imagenet,Desktop NCS
92,ResNet101,NCS,Laptop,,,44707176.0,44601832.0,105344.0,0.09539845142761866,0.0,12000.0,1.0,0.7228333333333333,0.8614166666666667,0.8986666666666666,0.9313333333333333,179.68035999999998,1.5008572698404288,infer,imagenet,Laptop NCS
93,ResNet101,NCS,RasPi,,,44707176.0,44601832.0,105344.0,0.0996206303437551,0.0,12000.0,1.0,0.7229195767200001,0.86149285716,0.8987568783200001,0.93131984128,179.68035999999998,1.5939300855000815,infer,imagenet,RasPi NCS
94,ResNet101,TPU,Desktop,,,44707176.0,44601832.0,105344.0,0.08435711297392845,0.0,12000.0,1.0,0.7213333333333334,0.8581666666666666,0.8921666666666667,0.9204166666666667,179.68035999999998,1.4537752475828176,infer,imagenet,Desktop TPU
95,ResNet101,TPU,Laptop,,,44707176.0,44601832.0,105344.0,0.08517221542199453,0.0,12000.0,1.0,0.7213333333333334,0.8581666666666666,0.8921666666666667,0.9204166666666667,179.68035999999998,1.5574845185840338,infer,imagenet,Laptop TPU
