,model,backend,architecture,number_of_operations,number_of_unmapped_operations,total_parameters,trainable_parameters,non_trainable_parameters,running_time,power_draw,validation_size,batch_size,accuracy_k1,accuracy_k3,accuracy_k5,accuracy_k10,approx_USB_power_draw,fsize,task,dataset,environment
111,ResNet152,NCS,RasPi,,,60419944.0,60268520.0,151424.0,0.1442046900788943,22783.880618950498,12000.0,1.0,0.7277612434,0.8663194444,0.9021990741,0.9327876984,22784.529540055853,242.954816,infer,imagenet,RasPi NCS
114,ResNet152V2,CPU,RasPi,,,60380648.0,60236904.0,143744.0,1.0564550992250443,166917.73606198275,12000.0,16.0,0.6843584656,0.8337466931,0.8711970899,0.9117890212,166917.73606198275,,infer,imagenet,RasPi CPU
117,ResNet152V2,NCS,RasPi,,,60380648.0,60236904.0,143744.0,0.14265040616194408,22538.28564141394,12000.0,1.0,0.6845238095,0.8303571429,0.8654100529,0.9012070106,22538.927568241666,,infer,imagenet,RasPi NCS
120,ResNet50,CPU,RasPi,,,25636712.0,25583592.0,53120.0,0.2452762700749768,40209.54699261456,12000.0,24.0,0.7043908730333334,0.85084623015,0.88711772485,0.9253816137666666,40209.54699261456,102.985688,infer,imagenet,RasPi CPU
123,ResNet50,NCS,RasPi,,,25636712.0,25583592.0,53120.0,0.05283897220932907,4061.4803962580845,12000.0,1.0,0.7042265834,0.8507453037399999,0.88643058112,0.92321183922,4061.718171633028,102.98568800000001,infer,imagenet,RasPi NCS
126,ResNet50,TPU,RasPi,,,25636712.0,25583592.0,53120.0,0.04307166351212396,2404.323161329176,12000.0,1.0,0.7006666666666667,0.8450000000000001,0.8790833333333333,0.9103333333333333,2404.516983814981,102.985688,infer,imagenet,RasPi TPU
129,ResNet50V2,CPU,RasPi,,,25613800.0,25568360.0,45440.0,0.21665738400154644,35700.975391532615,12000.0,24.0,0.6589890873,0.8171054894166666,0.8591458333333333,0.9025975529,35700.975391532615,,infer,imagenet,RasPi CPU
132,ResNet50V2,NCS,RasPi,,,25613800.0,25568360.0,45440.0,0.06838205693960189,6163.60948537132,12000.0,1.0,0.65882513228,0.81535661376,0.8549965608400001,0.89515185184,6163.917204627549,,infer,imagenet,RasPi NCS
135,ResNet50V2,TPU,RasPi,,,25613800.0,25568360.0,45440.0,0.04485291029347314,2506.4570759463363,12000.0,1.0,0.652,0.7984166666666667,0.8394166666666667,0.8725833333333334,2506.6589140426568,,infer,imagenet,RasPi TPU
138,VGG16,CPU,RasPi,,,138357544.0,138357544.0,0.0,0.12904019834597905,30495.29109476609,12000.0,32.0,0.6763333333333333,0.8251666666666667,0.8670833333333333,0.9109166666666667,30495.29109476609,553.491728,infer,imagenet,RasPi CPU
141,VGG16,NCS,RasPi,,,138357544.0,138357544.0,0.0,0.20763091235028375,11214.726982839036,12000.0,1.0,0.6771666666666668,0.8251666666666667,0.8668333333333335,0.9101666666666667,11215.66132194461,553.491728,infer,imagenet,RasPi NCS
148,Xception,CPU,RasPi,,,22910480.0,22855952.0,54528.0,8.296716601920314,1310866.6852579925,12000.0,16.0,0.7738095238000001,0.9084821429,0.9404761905,0.9657738095,1310866.6852579925,91.973528,infer,imagenet,RasPi CPU
151,Xception,NCS,RasPi,,,22910480.0,22855952.0,54528.0,0.2654648746728897,24762.72269872622,12000.0,1.0,0.770634127,0.89888994708,0.9302730158799999,0.95667195768,24763.917290662248,91.973528,infer,imagenet,RasPi NCS
154,Xception,TPU,RasPi,,,22910480.0,22855952.0,54528.0,0.05876736093891991,3262.46487715872,12000.0,1.0,0.7241666666666666,0.8685,0.90325,0.9364166666666667,3262.7293302829453,91.973528,infer,imagenet,RasPi TPU
